SeqId,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,RBTreeSortNComp,RBTreeSortTns,
seq_50_61,568,55248,223,30805,218,55091,
seq_50_62,646,64008,224,35902,236,56714,
seq_50_63,625,94950,227,56428,217,84329,
seq_50_64,639,112179,223,56554,225,109351,
seq_50_65,723,126226,218,57609,224,85895,
seq_50_66,613,104930,227,53945,212,82276,
seq_50_67,551,99336,218,57661,215,84960,
seq_50_68,615,107487,222,58872,226,86035,
seq_50_69,739,137882,223,58839,232,88237,
seq_50_70,557,98870,223,55644,220,91998,
seq_50_71,556,66990,223,35752,225,57075,
seq_50_72,685,78376,219,32353,223,53846,
seq_50_73,644,72972,228,32547,226,53457,
seq_50_74,666,76690,222,31367,222,50000,
seq_50_75,734,80957,223,32112,212,64563,
seq_50_76,681,77007,225,47348,217,74493,
seq_50_77,656,106879,225,63121,241,81152,
seq_50_78,705,115725,220,53032,217,82176,
seq_50_79,767,130498,221,55857,229,83135,
seq_50_80,609,99037,227,78426,205,74783,
seq_50_81,683,80512,219,47582,227,55566,
seq_50_82,637,96552,222,33480,210,60913,
seq_50_83,676,94768,227,37310,219,54352,
seq_50_84,632,93082,227,50891,214,63069,
seq_50_85,690,98872,221,69578,227,99300,
seq_50_86,603,84188,226,35302,227,53299,
seq_50_87,685,79503,216,41682,223,53055,
seq_50_88,561,63942,222,43604,224,70725,
seq_50_89,682,77133,224,33803,219,50688,
seq_50_90,683,105164,215,41155,214,49873,
seq_50_91,829,96438,213,33125,223,52994,
seq_50_92,632,89359,225,31304,223,54292,
seq_50_93,643,64457,230,53788,226,106439,
seq_50_94,680,28020,213,53657,220,84405,
seq_50_95,706,36698,225,56241,223,87478,
seq_50_96,635,33718,209,56561,217,87357,
seq_50_97,654,33353,226,107832,229,89108,
seq_50_98,715,36900,224,57488,217,86225,
seq_50_99,645,34105,220,56537,223,86381,
seq_100_0,2583,130528,539,120447,518,190948,
seq_100_1,2352,116315,538,125745,546,196621,
seq_100_2,2626,127996,540,122599,547,229107,
seq_100_3,2279,114854,528,125101,554,183678,
seq_100_4,2333,118912,548,138753,537,185609,
seq_100_5,2786,135056,550,157089,524,196287,
seq_100_6,2554,117918,540,150798,535,198365,
seq_100_7,2448,122681,534,119322,564,195807,
seq_100_8,2667,127958,539,146610,554,187340,
seq_100_9,2470,119132,548,123646,535,187754,
seq_100_10,2597,124724,546,121286,589,187980,
seq_100_11,2576,122956,540,118927,539,180402,
seq_100_12,2680,127089,531,117638,544,135777,
seq_100_13,3004,146679,547,117141,575,134549,
seq_100_14,2403,112904,542,158315,536,130652,
seq_100_15,2367,112538,547,122255,523,124645,
seq_100_16,2635,128881,541,121674,538,135680,
seq_100_17,2477,117552,543,121075,578,135800,
seq_100_18,2764,119116,547,121310,546,158770,
seq_100_19,2609,111195,548,116117,557,145718,
seq_100_20,2604,107053,544,110217,556,118775,
seq_100_21,2607,121498,540,116629,544,128848,
seq_100_22,2502,127062,548,125317,527,158936,
seq_100_23,2714,145077,541,130867,564,138051,
seq_100_24,2652,124676,544,136631,628,135464,
seq_100_25,2506,124833,534,126893,551,137370,
seq_100_26,2670,149287,536,122496,550,137519,
seq_100_27,2441,113945,546,126512,538,133124,
seq_100_28,2879,129653,552,123638,553,132836,
seq_100_29,2712,134933,536,128366,559,115747,
seq_100_30,2554,132338,543,122171,540,125433,
seq_100_31,2645,120603,547,119416,541,127663,
seq_100_32,2555,109529,541,155409,562,127437,
seq_100_33,2777,112683,537,72159,624,117247,
seq_100_34,2530,113455,532,49746,545,123804,
seq_100_35,2755,126384,545,49399,545,116523,
seq_100_36,2673,111840,535,51689,557,117892,
seq_100_37,2538,127689,541,53053,532,129322,
seq_100_38,2597,128978,550,57753,541,130092,
seq_100_39,2458,129388,535,49665,563,139465,
seq_100_40,2686,136313,549,56092,708,130378,
seq_100_41,2397,125568,530,54746,529,130052,
seq_100_42,2455,125132,546,52284,532,128328,
seq_100_43,2680,133565,549,48144,531,134285,
seq_100_44,2243,112006,534,47019,531,128025,
seq_100_45,2569,130392,539,48878,523,126233,
seq_100_46,2425,128906,545,51720,539,123073,
seq_100_47,2798,119044,545,52005,547,124772,
seq_100_48,2520,366679,534,48626,545,112397,
seq_100_49,2473,115585,543,53091,567,121507,
seq_100_50,2847,112640,541,54360,560,114407,
seq_100_51,2699,302012,532,51502,515,127430,
seq_100_52,2862,132764,540,51329,631,137708,
seq_100_53,2975,155679,530,51087,571,148811,
seq_100_54,2725,301595,547,50674,573,126729,
seq_100_55,2534,128155,537,46840,526,126968,
seq_100_56,2858,140497,548,46102,551,127361,
seq_100_57,2663,277817,540,47290,571,127229,
seq_100_58,2761,146715,544,47877,538,126338,
seq_100_59,2503,128208,546,45549,595,134259,
seq_100_60,2629,240109,545,57406,579,125038,
seq_100_61,2589,131404,540,45422,535,134613,
seq_100_62,2614,33106,547,46107,580,133192,
seq_100_63,2482,33859,542,56007,536,134687,
seq_100_64,2664,34837,547,48424,581,126899,
seq_100_65,2281,29183,535,48871,551,131018,
seq_100_66,2582,30066,548,50292,547,120736,
seq_100_67,2807,36421,544,53802,570,124406,
seq_100_68,2962,28334,543,51272,535,117809,
seq_100_69,2412,30244,528,53068,538,127705,
seq_100_70,2602,31168,540,47782,532,131212,
seq_100_71,2869,33998,538,52046,548,116445,
seq_100_72,2743,30976,539,50277,535,126569,
seq_100_73,2502,29191,548,44659,580,116695,
seq_100_74,2705,29528,536,45497,528,118822,
seq_100_75,2447,27428,540,47591,549,123365,
seq_100_76,2434,26448,547,50690,521,114309,
seq_100_77,2687,30681,545,45566,555,120723,
seq_100_78,2658,29990,552,52675,527,118549,
seq_100_79,2830,31944,530,46570,562,124771,
seq_100_80,2329,26896,544,65919,525,115900,
seq_100_81,2507,29749,546,60027,540,116073,
seq_100_82,2851,33827,542,51446,536,135219,
seq_100_83,2537,29872,537,48006,536,131874,
seq_100_84,2737,32956,541,49511,737,127438,
seq_100_85,2746,32486,543,53350,535,129494,
seq_100_86,2548,31543,540,49379,538,136490,
seq_100_87,2588,30417,553,45443,523,116630,
seq_100_88,2592,29440,538,45114,531,118884,
seq_100_89,2533,30531,529,48185,519,118372,
seq_100_90,2553,28015,545,45124,540,123336,
seq_100_91,2540,30181,536,49773,543,126722,
seq_100_92,3026,35387,544,59425,531,123451,
seq_100_93,2662,31541,548,50462,555,120840,
seq_100_94,2595,29859,529,51283,557,123287,
seq_100_95,2818,32662,536,48699,556,123732,
seq_100_96,2433,28722,534,52962,545,124733,
seq_100_97,2973,38803,540,52321,550,140289,
seq_100_98,2628,35495,536,51388,538,135712,
seq_100_99,2707,34332,535,53062,549,123499,
seq_150_0,5619,50959,901,72025,923,238126,
seq_150_1,6021,62987,904,81157,919,242831,
seq_150_2,5490,63057,906,76311,890,210669,
seq_150_3,5781,61083,894,70958,912,217809,
seq_150_4,5979,62495,899,84307,962,276834,
seq_150_5,5716,66764,892,70904,886,231379,
seq_150_6,5553,66612,900,74212,872,222202,
seq_150_7,5739,69553,912,70766,860,249982,
seq_150_8,5436,64469,898,94511,909,220858,
seq_150_9,5883,51488,901,60541,877,222745,
seq_150_10,5957,61734,887,76554,860,174971,
seq_150_11,5942,67017,898,316001,891,324700,
seq_150_12,5975,91146,909,94032,905,3505510,
seq_150_13,6071,73372,905,86091,912,250990,
seq_150_14,6197,73127,903,75612,884,228312,
seq_150_15,6133,70144,897,100243,885,244461,
seq_150_16,5940,69185,904,82274,1055,232286,
seq_150_17,6058,72313,890,76514,892,224273,
seq_150_18,5979,72807,918,81885,929,231262,
seq_150_19,6320,55053,909,211693,915,283540,
seq_150_20,5841,63619,893,78261,921,225891,
seq_150_21,5861,64374,897,79662,916,207520,
seq_150_22,5525,69668,903,79427,881,219489,
seq_150_23,5946,71671,899,91513,920,211683,
seq_150_24,6123,69666,901,72146,897,216404,
seq_150_25,6029,69055,895,74304,946,337660,
seq_150_26,5521,62992,892,76033,1019,313724,
seq_150_27,6098,90069,899,74569,905,289595,
seq_150_28,5502,92113,901,106526,899,316969,
seq_150_29,5520,60100,900,85021,880,264534,
seq_150_30,6190,69428,905,75789,952,236597,
seq_150_31,5880,66968,896,74567,877,210119,
seq_150_32,5441,62646,898,73800,892,278478,
seq_150_33,5576,52937,901,67587,906,198026,
seq_150_34,5863,59445,891,67144,880,258997,
seq_150_35,5695,57429,902,82591,926,193621,
seq_150_36,5824,63618,898,79993,941,223727,
seq_150_37,5363,58387,903,76521,883,215796,
seq_150_38,6118,67735,903,80400,894,235191,
seq_150_39,5377,61659,908,89847,907,228462,
seq_150_40,5598,49824,901,76343,873,248798,
seq_150_41,5696,59313,893,75423,918,209129,
seq_150_42,5173,55437,900,82174,890,208391,
seq_150_43,6049,62802,898,72443,941,210529,
seq_150_44,5653,59417,903,79935,876,202877,
seq_150_45,5916,61942,900,75099,888,256875,
seq_150_46,5669,60895,904,68498,877,233031,
seq_150_47,5429,63046,899,82041,890,226388,
seq_150_48,6048,65992,890,80865,956,228880,
seq_150_49,5665,61494,909,101198,890,214879,
seq_150_50,5577,72144,903,104265,890,212189,
seq_150_51,5315,53954,899,75406,898,252779,
seq_150_52,5607,59536,905,76913,924,209503,
seq_150_53,5955,62908,894,76162,896,219083,
seq_150_54,6682,63664,884,71169,958,216102,
seq_150_55,5130,60066,907,72717,886,231179,
seq_150_56,6214,71756,911,80764,898,257022,
seq_150_57,5616,63356,906,77938,906,234766,
seq_150_58,5507,60926,901,87815,886,243951,
seq_150_59,5819,65182,892,71711,944,208396,
seq_150_60,5929,62490,888,78031,890,239780,
seq_150_61,5474,61679,896,81422,877,221174,
seq_150_62,5799,70549,896,77317,916,270451,
seq_150_63,5582,54602,908,77167,935,199577,
seq_150_64,5185,62745,912,76645,879,258119,
seq_150_65,5389,61195,899,82599,909,229455,
seq_150_66,5744,62090,905,79434,870,238689,
seq_150_67,6006,67992,907,82465,898,262925,
seq_150_68,5412,66726,888,80984,879,239155,
seq_150_69,5425,66310,905,77339,889,238660,
seq_150_70,5835,70666,901,81259,915,233640,
seq_150_71,5868,71663,898,82840,982,247331,
seq_150_72,5920,79804,893,81567,954,304015,
seq_150_73,5265,65219,897,92594,899,259817,
seq_150_74,5908,78537,888,83210,1059,245191,
seq_150_75,5875,76327,907,82806,937,262463,
seq_150_76,5407,73408,916,91304,1048,238488,
seq_150_77,5948,76468,905,81648,891,223414,
seq_150_78,5580,64101,901,83440,904,268335,
seq_150_79,5430,62742,895,80529,899,230343,
seq_150_80,5396,45634,887,71604,893,218453,
seq_150_81,5821,70009,910,85614,897,251778,
seq_150_82,5354,72119,901,80925,896,252184,
seq_150_83,5740,69468,907,82349,917,241023,
seq_150_84,5889,78210,898,80584,995,274142,
seq_150_85,5456,70457,897,91530,974,242721,
seq_150_86,5881,73916,905,82669,960,230263,
seq_150_87,5823,61336,903,71934,938,205687,
seq_150_88,5889,61240,912,75435,902,202339,
seq_150_89,5663,72037,886,84206,979,259488,
seq_150_90,5593,62924,907,84190,883,325016,
seq_150_91,6505,74347,896,87896,957,241561,
seq_150_92,5692,65128,896,72869,903,221075,
seq_150_93,5733,65828,899,79347,869,207657,
seq_150_94,5344,83472,899,78417,925,223549,
seq_150_95,5935,66045,911,82281,907,247838,
seq_150_96,5584,73793,912,83328,908,239028,
seq_150_97,5954,62663,907,82174,898,209017,
seq_150_98,5694,59435,899,73506,877,218285,
seq_150_99,5686,58720,902,71780,934,205685,
seq_200_0,9146,104967,1271,112943,1270,383002,
seq_200_1,10371,116330,1284,105180,1287,355694,
seq_200_2,9832,112553,1279,106019,1272,367932,
seq_200_3,10119,118226,1268,108015,1251,362912,
seq_200_4,11190,121607,1288,105797,1561,397023,
seq_200_5,10275,119248,1271,109340,1266,356587,
seq_200_6,10225,125743,1297,109320,1266,363026,
seq_200_7,10404,120377,1277,108587,1282,374133,
seq_200_8,9141,96194,1262,108656,1367,347074,
seq_200_9,10488,115747,1283,108977,1301,322457,
seq_200_10,9827,77209,1278,94373,1283,335325,
seq_200_11,10256,110250,1277,101131,1318,325326,
seq_200_12,9881,122072,1284,106054,1305,381482,
seq_200_13,11173,134350,1279,112490,1278,345490,
seq_200_14,9948,100979,1281,108551,1295,334801,
seq_200_15,10165,116636,1282,108714,1282,349765,
seq_200_16,9448,105855,1284,111985,1291,375016,
seq_200_17,10622,117190,1277,99863,1268,276400,
seq_200_18,9568,119125,1258,109824,1280,347628,
seq_200_19,10237,132906,1275,98363,1449,348319,
seq_200_20,10231,129699,1289,95999,1289,342639,
seq_200_21,9643,107627,1289,123512,1321,330938,
seq_200_22,9965,108010,1282,99902,1712,344375,
seq_200_23,10811,111977,1288,104202,1238,363428,
seq_200_24,10526,106689,1291,94765,1271,327938,
seq_200_25,10494,108413,1269,108868,1297,360450,
seq_200_26,9884,118820,1289,111842,1241,349268,
seq_200_27,10082,123478,1291,108138,1335,379507,
seq_200_28,10274,123912,1274,109587,1313,353846,
seq_200_29,8846,110018,1278,107024,1279,360803,
seq_200_30,10506,125790,1278,108537,1346,369468,
seq_200_31,9855,121083,1271,108680,1252,562080,
seq_200_32,10445,126093,1295,105296,1299,357151,
seq_200_33,10428,106594,1284,99109,1264,302912,
seq_200_34,9647,101980,1282,105358,1288,322690,
seq_200_35,10216,112112,1285,104372,1269,395995,
seq_200_36,10382,115937,1273,104839,1327,326318,
seq_200_37,10263,119066,1268,109084,1260,357029,
seq_200_38,9939,120226,1287,104567,1285,361509,
seq_200_39,9671,107767,1279,101853,1314,368836,
seq_200_40,10389,109182,1297,98891,1289,321198,
seq_200_41,8977,85936,1277,110914,1300,342933,
seq_200_42,10742,128086,1284,101193,1246,331442,
seq_200_43,10539,118253,1287,106076,1320,364474,
seq_200_44,9858,110473,1268,111153,1271,57562109,
seq_200_45,9989,122224,1291,91187,1298,365545,
seq_200_46,10261,123238,1287,99842,1278,409946,
seq_200_47,8964,113048,1287,90202,1268,360933,
seq_200_48,10200,115909,1283,94289,1299,357148,
seq_200_49,9779,113677,1275,123975,1296,342524,
seq_200_50,9894,122135,1273,111278,1280,284079,
seq_200_51,10207,125409,1286,113379,1356,419427,
seq_200_52,10186,108849,1276,113600,1295,337080,
seq_200_53,10656,105706,1262,118178,1241,350860,
seq_200_54,10644,111981,1283,86405,1283,264687,
seq_200_55,9489,103710,1283,75764,1279,352800,
seq_200_56,10470,120774,1288,82094,1426,345934,
seq_200_57,9873,115731,1271,85534,1333,353324,
seq_200_58,9806,120873,1279,89494,1262,350874,
seq_200_59,10283,126676,1280,94497,1281,395198,
seq_200_60,9879,120902,1282,84737,1295,354055,
seq_200_61,10230,108088,1294,103471,1231,385212,
seq_200_62,8909,102797,1298,86238,1277,328463,
seq_200_63,9876,112260,1280,101819,1346,379838,
seq_200_64,9598,99906,1279,107307,2883,294314,
seq_200_65,10233,103606,1267,98765,1365,352575,
seq_200_66,10459,116297,1287,103543,1308,329823,
seq_200_67,9133,101733,1278,103559,1241,365974,
seq_200_68,10646,108758,1290,79928,1264,355500,
seq_200_69,11214,124096,1290,82480,1394,340522,
seq_200_70,10094,115609,1272,83201,1320,335232,
seq_200_71,10240,107087,1285,91168,1293,373870,
seq_200_72,9700,88409,1280,107253,1371,319331,
seq_200_73,10246,124886,1276,87905,1281,329350,
seq_200_74,10348,116842,1271,80754,1424,378983,
seq_200_75,9386,104619,1261,77391,1286,321298,
seq_200_76,10111,120006,1280,87406,1261,345132,
seq_200_77,10269,126440,1299,107263,1310,327457,
seq_200_78,10749,130632,1264,81796,1286,330360,
seq_200_79,9236,115933,1270,81070,1246,342864,
seq_200_80,10089,125064,1286,87248,1307,339185,
seq_200_81,9994,127876,1285,78556,1552,375771,
seq_200_82,9835,119769,1279,78986,1270,327733,
seq_200_83,9461,116855,1265,382309,1273,336723,
seq_200_84,10462,127615,1275,103099,1276,325643,
seq_200_85,10206,127254,1298,80650,1550,309867,
seq_200_86,10343,102865,1276,79535,1272,297364,
seq_200_87,9751,108847,1266,79431,1302,297585,
seq_200_88,10254,111356,1301,66913,1269,292309,
seq_200_89,10292,103124,1285,78036,1449,306504,
seq_200_90,9675,106731,1285,76257,1252,323734,
seq_200_91,9427,110765,1298,83809,1262,314950,
seq_200_92,10380,129125,1282,82775,1330,295502,
seq_200_93,10230,118137,1282,83649,1349,313693,
seq_200_94,8449,104669,1292,82224,1333,336385,
seq_200_95,9798,120668,1277,89564,1251,325205,
seq_200_96,9298,119387,1280,83578,1267,324301,
seq_200_97,9713,127383,1286,82300,1264,340937,
seq_200_98,9661,102134,1277,85969,1234,320197,
seq_200_99,10412,128111,1286,82719,1303,349095,
seq_250_0,14560,143091,1668,113679,1678,452632,
seq_250_1,16294,185278,1664,116385,1660,472676,
seq_250_2,15523,145548,1676,141883,1655,409051,
seq_250_3,15985,184537,1693,104114,1719,469748,
seq_250_4,14912,178803,1678,106698,1751,471220,
seq_250_5,16319,193484,1669,103538,1690,487234,
seq_250_6,15616,125363,1677,84451,1811,523476,
seq_250_7,15270,183119,1690,116555,1680,507448,
seq_250_8,15407,145662,1675,98430,1712,390691,
seq_250_9,15659,143467,1673,89107,1661,436721,
seq_250_10,14837,169098,1691,98210,1701,378485,
seq_250_11,15646,159693,1684,95027,1740,415496,
seq_250_12,15141,146050,1697,99355,1681,424777,
seq_250_13,16581,176974,1679,86336,1660,414832,
seq_250_14,16732,165141,1680,95565,1652,419995,
seq_250_15,16270,194449,1682,115562,1688,498036,
seq_250_16,15725,187016,1679,107216,1648,456285,
seq_250_17,15367,166515,1686,101597,1688,433736,
seq_250_18,16500,202744,1685,111588,1771,456687,
seq_250_19,16596,212218,1660,105431,1754,459365,
seq_250_20,16181,202685,1686,98261,1737,465943,
seq_250_21,14600,176381,1676,110775,1733,443702,
seq_250_22,15835,190428,1684,121780,1667,435030,
seq_250_23,14733,179414,1674,104832,1676,388932,
seq_250_24,15750,190409,1660,104236,1642,433004,
seq_250_25,15991,198679,1669,108373,1677,454265,
seq_250_26,16005,181106,1664,101721,1693,425152,
seq_250_27,16642,205413,1671,105416,1674,427431,
seq_250_28,15670,180589,1673,103261,1641,419940,
seq_250_29,15571,191545,1675,104171,1680,449702,
seq_250_30,14859,175867,1668,101649,1665,435201,
seq_250_31,15571,181467,1661,106252,1708,427716,
seq_250_32,15838,171588,1675,97694,1657,459761,
seq_250_33,15662,177636,1662,103708,1960,378654,
seq_250_34,16960,221642,1684,108411,1710,453955,
seq_250_35,15617,177059,1678,114012,1665,454331,
seq_250_36,15770,193095,1669,107143,1663,474272,
seq_250_37,13775,160862,1679,108547,1658,445156,
seq_250_38,15490,183723,1691,106373,1723,453587,
seq_250_39,16510,199994,1680,109879,1892,453717,
seq_250_40,15732,172220,1683,99229,1792,438880,
seq_250_41,16127,183361,1682,110727,1675,398046,
seq_250_42,15695,161843,1694,101881,1663,435783,
seq_250_43,16305,180576,1696,108284,1711,386506,
seq_250_44,15456,170827,1673,110896,1670,398371,
seq_250_45,15977,197958,1682,106443,1746,431990,
seq_250_46,15461,203581,1671,91192,1671,483842,
seq_250_47,16282,186660,1675,111984,1710,411323,
seq_250_48,15841,175896,1695,96946,1669,375492,
seq_250_49,15661,194757,1679,106787,1945,466092,
seq_250_50,16703,198062,1684,97158,1682,427047,
seq_250_51,14814,190395,1676,105458,1647,470936,
seq_250_52,15228,187171,1697,110513,1724,453785,
seq_250_53,17353,204198,1675,115968,1636,426637,
seq_250_54,16216,188165,1669,111302,1659,424180,
seq_250_55,15350,180944,1675,101978,1662,426671,
seq_250_56,15814,179438,1686,100629,1712,409571,
seq_250_57,16039,183494,1658,106127,1640,406395,
seq_250_58,15527,159724,1678,103266,1670,415696,
seq_250_59,16163,163091,1684,117732,1649,378221,
seq_250_60,16576,179661,1684,97194,1657,427456,
seq_250_61,15937,174279,1686,101081,1730,450523,
seq_250_62,16040,194282,1681,102599,1678,440042,
seq_250_63,16810,177221,1676,92142,1660,319482,
seq_250_64,16531,221061,1678,113498,1799,466546,
seq_250_65,15272,180511,1679,90828,1697,395341,
seq_250_66,16305,169425,1684,94738,1689,406437,
seq_250_67,15993,176014,1680,98353,1697,410843,
seq_250_68,15526,175265,1678,107327,1730,440871,
seq_250_69,16505,160765,1691,132579,1652,434727,
seq_250_70,15245,174366,1671,104945,1667,428209,
seq_250_71,15481,183670,1681,101898,1684,418170,
seq_250_72,16337,186974,1693,102453,1712,428198,
seq_250_73,14026,170057,1683,100576,1648,417241,
seq_250_74,16563,605452,1680,109089,1653,433026,
seq_250_75,16280,184793,1687,96574,1738,345173,
seq_250_76,15742,173230,1697,99637,1702,423066,
seq_250_77,16332,179343,1695,95493,1741,391472,
seq_250_78,14959,169071,1663,103053,1651,402855,
seq_250_79,15746,172552,1680,96108,1850,405287,
seq_250_80,17330,205697,1689,99826,1692,405309,
seq_250_81,15182,173518,1673,113923,1767,413403,
seq_250_82,17122,175682,1678,93679,1659,402710,
seq_250_83,16620,176412,1671,95147,1726,417548,
seq_250_84,15832,168149,1675,97620,1818,421983,
seq_250_85,15815,164661,1679,98439,1675,406606,
seq_250_86,15614,159683,1663,93151,1692,395710,
seq_250_87,15631,161533,1680,93721,1631,393239,
seq_250_88,16204,168023,1688,94871,1657,397205,
seq_250_89,15700,163646,1695,104023,1645,381320,
seq_250_90,16439,189571,1680,97585,1704,433191,
seq_250_91,15568,163334,1675,88427,1673,405522,
seq_250_92,15859,179167,1686,100781,1667,400547,
seq_250_93,16045,188605,1687,101245,1699,452092,
seq_250_94,16181,199152,1675,107089,1719,444495,
seq_250_95,14404,169855,1673,101950,1666,456229,
seq_250_96,15702,215948,1679,130804,1645,496372,
seq_250_97,16623,217965,1688,109689,1723,464838,
seq_250_98,16648,214757,1684,107622,1723,452655,
seq_250_99,16557,197015,1687,99173,1768,417376,
seq_300_0,22177,228475,2101,117461,2160,531003,
seq_300_1,23082,258000,2092,118902,2320,561938,
seq_300_2,21798,279816,2110,120940,2060,564039,
seq_300_3,22315,249125,2103,119763,2075,588109,
seq_300_4,23224,268739,2100,143743,2075,588896,
seq_300_5,21768,270965,2115,125192,2059,617633,
seq_300_6,23898,277257,2104,128653,2059,608059,
seq_300_7,21725,223070,2097,114773,2172,550623,
seq_300_8,21541,258372,2099,130502,2097,625165,
seq_300_9,23805,273233,2101,140545,2230,601078,
seq_300_10,23318,268264,2119,120712,2192,575291,
seq_300_11,22594,251047,2115,121900,2165,577820,
seq_300_12,21767,264832,2090,123708,2159,578426,
seq_300_13,20950,224729,2077,116891,2123,571878,
seq_300_14,21938,234407,2074,117196,2050,589500,
seq_300_15,22692,321185,2091,178395,2148,601480,
seq_300_16,23504,289335,2105,131294,2046,584790,
seq_300_17,23678,284161,2109,128573,2219,607661,
seq_300_18,23181,251613,2101,139012,2102,661226,
seq_300_19,21320,231106,2103,142746,2060,576820,
seq_300_20,24609,261781,2090,120264,2109,533373,
seq_300_21,22708,245938,2102,105793,2076,538863,
seq_300_22,21346,233996,2101,107923,2069,604425,
seq_300_23,22091,237331,2097,105947,2145,524645,
seq_300_24,22623,236214,2106,108094,2068,515189,
seq_300_25,22184,234782,2097,108609,2108,545913,
seq_300_26,23765,264290,2098,146250,2071,570237,
seq_300_27,21873,256721,2105,116349,2120,581970,
seq_300_28,22218,288072,2096,160738,2129,618885,
seq_300_29,25178,254653,2099,136654,2228,515124,
seq_300_30,21871,215778,2101,141972,2105,552312,
seq_300_31,22880,281668,2098,150995,2071,545811,
seq_300_32,23297,227001,2119,135647,2104,577159,
seq_300_33,21977,246846,2095,163677,2168,582734,
seq_300_34,22775,251203,2120,151367,2202,590991,
seq_300_35,21614,250119,2107,146680,2050,554302,
seq_300_36,23875,247863,2091,140154,2052,523542,
seq_300_37,21370,227435,2102,150426,2106,568282,
seq_300_38,22930,255175,2093,160660,2042,567888,
seq_300_39,21149,256026,2100,155070,2115,603816,
seq_300_40,23513,291430,2102,155480,2072,643739,
seq_300_41,22465,265317,2094,163429,2064,593427,
seq_300_42,22093,264326,2097,162184,2080,743783,
seq_300_43,20411,215535,2117,147769,2136,575785,
seq_300_44,22608,243194,2107,151482,2162,584546,
seq_300_45,21033,254578,2090,152419,2042,579512,
seq_300_46,24074,292002,2095,160574,2144,583718,
seq_300_47,23520,309474,2090,187998,2062,586166,
seq_300_48,21878,253861,2092,189753,2218,590219,
seq_300_49,21533,256717,2092,156496,2213,601309,
seq_300_50,23732,289860,2111,156865,2107,624861,
seq_300_51,22132,265498,2082,154824,2084,557797,
seq_300_52,22342,261800,2081,180406,2107,582083,
seq_300_53,23458,269353,2089,160845,2194,593025,
seq_300_54,24673,313272,2096,164320,2111,483829,
seq_300_55,22740,236484,2079,162494,2068,611720,
seq_300_56,22052,196925,2094,135176,2131,550191,
seq_300_57,21185,190616,2093,149394,2124,565840,
seq_300_58,23985,236572,2104,154463,2121,789420,
seq_300_59,22367,208001,2103,135335,2119,542108,
